"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 MM1)","2023-Oct-05 11:00 ±    19:44","0.11871","0.11781","2.43","2.42","26.2","15 m -   34 m","0"
"(2023 TE5)","2023-Oct-05 14:04 ±    00:03","0.05333","0.05262","7.39","7.38","26.5","13 m -   29 m","0"
"(2012 QL14)","2023-Oct-05 16:37 ±    07:27","0.19687","0.19181","15.39","15.38","24.5","34 m -   76 m","0"
"(2023 TH1)","2023-Oct-05 18:26 ±    00:04","0.07149","0.07102","17.83","17.82","24.9","27 m -   61 m","0"
"(2023 TW9)","2023-Oct-05 18:29 ± < 00:01","0.04770","0.04742","12.67","12.66","24.0","42 m -   94 m","0"
"(2023 RP5)","2023-Oct-05 20:53 ± < 00:01","0.08878","0.08871","8.80","8.80","24.1","41 m -   92 m","0"
"(2023 TN2)","2023-Oct-05 20:56 ±    00:01","0.02090","0.02080","7.23","7.21","28.1","6.4 m -   14 m","0"
"(2020 CW)","2023-Oct-05 21:06 ± 2_19:30","0.09319","0.09043","19.35","19.35","32.6","0.82 m -  1.8 m","0"
"(2023 TY1)","2023-Oct-05 21:40 ±    00:01","0.04887","0.04845","6.00","5.99","26.4","14 m -   31 m","0"
"(2023 RJ6)","2023-Oct-05 23:17 ± < 00:01","0.09998","0.09982","7.17","7.17","24.4","36 m -   80 m","0"
"(2023 TU)","2023-Oct-06 03:12 ±    00:05","0.01569","0.01566","8.19","8.17","28.0","6.6 m -   15 m","0"
"(2023 TG)","2023-Oct-06 06:40 ± < 00:01","0.00462","0.00461","7.22","7.14","28.2","6.1 m -   14 m","0"
"(2023 TL3)","2023-Oct-06 08:10 ± < 00:01","0.00599","0.00599","16.20","16.17","25.4","22 m -   49 m","1"
"(2023 TJ10)","2023-Oct-06 09:28 ±    00:01","0.13813","0.13662","13.83","13.83","24.4","35 m -   79 m","0"
"(2023 TO3)","2023-Oct-06 13:43 ± < 00:01","0.00533","0.00532","13.69","13.65","27.8","7.3 m -   16 m","0"
"(2023 TQ)","2023-Oct-06 16:29 ± < 00:01","0.01512","0.01509","13.22","13.21","25.7","19 m -   43 m","0"
"(2023 TY8)","2023-Oct-06 16:30 ±    00:22","0.03779","0.03722","14.27","14.27","26.0","17 m -   38 m","0"
"(2023 RX7)","2023-Oct-06 16:46 ± < 00:01","0.08435","0.08424","14.23","14.22","23.5","53 m -  120 m","0"
"(2022 OB5)","2023-Oct-06 18:55 ±    05:55","0.05269","0.05262","1.37","1.33","28.9","4.4 m -  9.8 m","0"
"(2023 US9)","2023-Oct-06 19:13 ±    00:05","0.03390","0.03382","8.75","8.74","23.4","56 m -  120 m","0"
"(2023 VS6)","2023-Oct-06 20:21 ±    00:10","0.15031","0.15016","12.18","12.18","21.4","140 m -  310 m","0"
"(2023 TA6)","2023-Oct-06 20:54 ± < 00:01","0.01957","0.01949","9.89","9.88","26.9","11 m -   25 m","0"
"(2023 SU6)","2023-Oct-06 21:20 ± < 00:01","0.17504","0.17485","16.31","16.30","22.1","100 m -  220 m","0"
"(2020 FS2)","2023-Oct-06 21:36 ± 5_18:36","0.12386","0.11509","9.30","9.30","24.3","36 m -   81 m","0"
"(2019 SL8)","2023-Oct-07 00:07 ± 5_08:14","0.07304","0.02072","11.55","11.55","25.9","18 m -   39 m","0"
"(2022 TD)","2023-Oct-07 00:15 ± < 00:01","0.02277","0.02277","9.40","9.39","27.7","7.6 m -   17 m","0"
"(2023 RR29)","2023-Oct-07 01:16 ± < 00:01","0.02357","0.02355","8.11","8.10","24.8","29 m -   65 m","0"
"(2016 CF137)","2023-Oct-07 01:19 ± < 00:01","0.19595","0.19594","7.46","7.46","25.8","19 m -   42 m","0"
"(2013 OY3)","2023-Oct-07 03:49 ±    14:35","0.12541","0.10002","12.07","12.06","24.8","29 m -   66 m","0"
"(2023 TD32)","2023-Oct-07 04:58 ± < 00:01","0.03272","0.03250","15.30","15.30","25.6","20 m -   45 m","0"
"(2023 TR1)","2023-Oct-07 05:25 ± < 00:01","0.00072","0.00072","19.98","19.79","29.8","2.9 m -  6.4 m","0"
"162120 (1998 SH36)","2023-Oct-07 08:31 ± < 00:01","0.14166","0.14166","21.91","21.91","20.6","200 m -  440 m","0"
"(2019 SB6)","2023-Oct-07 09:21 ± 1_08:48","0.10992","0.09401","5.74","5.73","26.8","12 m -   26 m","0"
"(2023 TX1)","2023-Oct-07 10:14 ±    03:30","0.12261","0.12104","6.56","6.56","25.1","25 m -   56 m","0"
"(2023 TN1)","2023-Oct-07 10:25 ±    00:02","0.07702","0.07632","12.69","12.68","24.3","36 m -   81 m","0"
"(2023 TB1)","2023-Oct-07 13:26 ± < 00:01","0.00174","0.00174","9.36","9.19","29.3","3.7 m -  8.2 m","0"
"(2023 TK4)","2023-Oct-07 13:40 ±    00:10","0.00136","0.00135","14.23","14.09","28.7","4.8 m -   11 m","0"
"(2020 VU5)","2023-Oct-07 14:24 ±    07:03","0.10327","0.09778","7.35","7.35","27.4","8.8 m -   20 m","0"
"(2023 SG7)","2023-Oct-07 15:23 ±    00:01","0.15531","0.15492","12.91","12.91","23.6","49 m -  110 m","0"
"(2023 UR)","2023-Oct-07 18:14 ± < 00:01","0.04817","0.04811","9.57","9.56","24.4","35 m -   77 m","0"
"(2023 TK)","2023-Oct-07 19:11 ± < 00:01","0.01478","0.01475","4.89","4.86","27.1","10 m -   23 m","0"
"(2023 RN7)","2023-Oct-07 20:56 ±    00:02","0.09189","0.09185","11.41","11.41","23.2","62 m -  140 m","0"
"(2023 TJ4)","2023-Oct-07 21:08 ±    00:01","0.00199","0.00198","12.54","12.43","29.3","3.7 m -  8.2 m","0"
"(2023 TK1)","2023-Oct-07 21:19 ± < 00:01","0.17712","0.17668","11.55","11.55","23.9","45 m -  100 m","0"
"(2023 TD1)","2023-Oct-07 21:28 ± < 00:01","0.00597","0.00594","17.46","17.44","27.1","10 m -   22 m","0"
"(2023 TX)","2023-Oct-07 21:53 ± < 00:01","0.00385","0.00385","7.00","6.90","29.7","3.1 m -  7.0 m","0"
"679885 (2021 NQ5)","2023-Oct-07 22:58 ± < 00:01","0.12818","0.12818","9.26","9.26","21.1","160 m -  350 m","0"
"(2023 RG10)","2023-Oct-08 01:02 ±    00:01","0.08259","0.08254","2.63","2.62","25.4","23 m -   51 m","0"
"(2023 UA4)","2023-Oct-08 01:07 ±    00:19","0.03299","0.03238","11.84","11.84","26.3","14 m -   32 m","0"
"(2020 FV3)","2023-Oct-08 02:18 ±    06:07","0.16111","0.15513","10.82","10.82","27.7","7.7 m -   17 m","0"
"(2006 UA)","2023-Oct-08 03:53 ± < 00:01","0.13043","0.13043","18.26","18.26","20.1","250 m -  570 m","0"
"(2023 SA1)","2023-Oct-08 08:32 ±    00:02","0.04576","0.04563","5.89","5.88","25.7","19 m -   43 m","0"
"(2023 SM1)","2023-Oct-08 10:12 ±    00:03","0.18078","0.18065","6.11","6.10","23.8","47 m -  110 m","0"
"(2023 TL4)","2023-Oct-08 10:14 ± < 00:01","0.03212","0.03212","34.44","34.44","20.0","260 m -  590 m","1"
"(2023 RL21)","2023-Oct-08 11:37 ± < 00:01","0.06282","0.06277","9.00","8.99","25.1","25 m -   56 m","0"
"(2021 TJ10)","2023-Oct-08 12:09 ±    03:56","0.10765","0.10338","9.74","9.74","29.0","4.3 m -  9.5 m","0"
"(2023 TA1)","2023-Oct-08 12:51 ±    00:06","0.02391","0.02382","8.35","8.34","26.5","13 m -   30 m","0"
"(2023 TM4)","2023-Oct-08 12:58 ± < 00:01","0.09451","0.09402","8.78","8.78","25.2","24 m -   54 m","0"
"(2018 ER1)","2023-Oct-08 14:03 ±    00:40","0.03208","0.03170","5.29","5.28","25.7","19 m -   43 m","0"
"(2023 TS5)","2023-Oct-08 14:15 ±    00:39","0.02302","0.02259","7.51","7.49","28.0","6.7 m -   15 m","0"
"(2023 TY10)","2023-Oct-08 16:03 ±    00:04","0.00393","0.00389","15.52","15.48","28.7","4.8 m -   11 m","0"
"(2023 TJ8)","2023-Oct-08 16:19 ± < 00:01","0.02668","0.02660","8.07","8.06","27.4","8.8 m -   20 m","0"
"(2023 UK)","2023-Oct-08 17:15 ±    00:11","0.03516","0.03469","12.90","12.90","26.1","16 m -   35 m","0"
"(2023 RA5)","2023-Oct-08 23:25 ± < 00:01","0.10674","0.10671","15.15","15.15","22.3","94 m -  210 m","0"
"(2023 UF)","2023-Oct-09 00:04 ±    04:30","0.01251","0.01211","10.43","10.41","27.9","7.0 m -   16 m","0"
"(2023 UZ2)","2023-Oct-09 02:35 ±    00:35","0.03307","0.03298","3.77","3.75","26.9","11 m -   25 m","0"
"(2023 UV)","2023-Oct-09 04:50 ±    00:02","0.12328","0.11955","33.53","33.53","23.8","47 m -  100 m","0"
"(2023 TX6)","2023-Oct-09 05:07 ± < 00:01","0.00311","0.00310","8.38","8.28","29.2","3.9 m -  8.8 m","0"
"(2023 RL19)","2023-Oct-09 07:21 ± < 00:01","0.12842","0.12821","27.00","27.00","21.8","120 m -  260 m","0"
"(2023 TN22)","2023-Oct-09 09:12 ±    00:04","0.04434","0.04358","9.20","9.20","25.5","21 m -   47 m","0"
"(2023 TL)","2023-Oct-09 10:28 ± < 00:01","0.02122","0.02112","13.92","13.91","24.5","33 m -   74 m","0"
"(2023 TY9)","2023-Oct-09 12:38 ± < 00:01","0.01253","0.01250","17.96","17.95","25.0","27 m -   61 m","0"
"(2023 TW)","2023-Oct-09 14:18 ± < 00:01","0.00531","0.00530","7.69","7.63","27.3","9.3 m -   21 m","0"
"(2023 TZ5)","2023-Oct-09 17:02 ± < 00:01","0.01557","0.01554","13.54","13.52","26.6","12 m -   28 m","0"
"(2007 UM12)","2023-Oct-09 17:37 ± < 00:01","0.07744","0.07744","7.30","7.30","21.5","130 m -  300 m","0"
"(2023 TM15)","2023-Oct-09 18:21 ± < 00:01","0.02031","0.02018","17.07","17.06","26.8","11 m -   26 m","0"
"(2023 TX19)","2023-Oct-09 20:18 ±    00:09","0.01991","0.01961","14.63","14.62","25.5","21 m -   47 m","0"
"(2023 TR)","2023-Oct-09 22:04 ± < 00:01","0.01061","0.01057","7.45","7.42","26.1","16 m -   35 m","0"
"(2023 TZ65)","2023-Oct-10 02:27 ±    00:03","0.00120","0.00120","21.59","21.49","29.6","3.2 m -  7.0 m","0"
"(2023 TO)","2023-Oct-10 04:43 ± < 00:01","0.00970","0.00970","10.67","10.65","26.3","15 m -   33 m","0"
"(2020 TH6)","2023-Oct-10 06:27 ±    00:42","0.10984","0.10953","3.94","3.93","28.8","4.6 m -   10 m","0"
"(2023 TA7)","2023-Oct-10 07:01 ± < 00:01","0.03173","0.03163","10.43","10.42","24.9","28 m -   64 m","0"
"(2023 TM3)","2023-Oct-10 12:57 ± < 00:01","0.00111","0.00111","11.51","11.30","26.9","11 m -   24 m","1"
"(2023 RP21)","2023-Oct-10 14:54 ± < 00:01","0.16524","0.16518","17.14","17.14","22.6","78 m -  180 m","0"
"(2022 GP5)","2023-Oct-10 15:14 ± < 00:01","0.18574","0.18574","9.06","9.06","23.2","60 m -  130 m","0"
"(2023 UC2)","2023-Oct-10 16:27 ±    00:02","0.02078","0.02066","16.08","16.07","26.8","12 m -   26 m","0"
"(2023 TG8)","2023-Oct-10 20:22 ± < 00:01","0.00780","0.00779","12.52","12.49","28.1","6.4 m -   14 m","0"
"(2023 TZ4)","2023-Oct-10 23:01 ± < 00:01","0.02756","0.02748","8.68","8.67","25.4","22 m -   50 m","0"
"(2023 TH8)","2023-Oct-10 23:23 ± < 00:01","0.00629","0.00627","29.53","29.52","26.4","14 m -   31 m","0"
"(2023 UD)","2023-Oct-10 23:41 ± < 00:01","0.01290","0.01287","10.00","9.98","27.5","8.5 m -   19 m","0"
"(2023 TF2)","2023-Oct-11 02:03 ± < 00:01","0.02441","0.02416","19.04","19.04","25.4","22 m -   48 m","0"
"(2023 FW3)","2023-Oct-11 02:50 ±    00:04","0.17482","0.17470","10.61","10.61","23.3","58 m -  130 m","0"
"(2023 TE)","2023-Oct-11 04:37 ± < 00:01","0.01088","0.01086","5.58","5.54","26.9","11 m -   24 m","0"
"(2023 TP22)","2023-Oct-11 06:05 ± < 00:01","0.04274","0.04257","13.88","13.87","22.8","73 m -  160 m","0"
"(2023 TU9)","2023-Oct-11 06:21 ± < 00:01","0.03307","0.03300","12.40","12.39","23.3","58 m -  130 m","0"
"(2023 UQ1)","2023-Oct-11 07:46 ±    00:03","0.02475","0.02450","8.37","8.36","26.5","14 m -   30 m","0"
"(2023 UM3)","2023-Oct-11 11:06 ±    00:07","0.04083","0.04056","14.23","14.23","25.0","26 m -   59 m","0"
"(2023 SQ2)","2023-Oct-11 12:44 ± < 00:01","0.07390","0.07385","4.60","4.59","26.0","17 m -   38 m","0"
"(2023 UZ8)","2023-Oct-11 12:52 ±    00:04","0.02269","0.02249","5.52","5.50","26.8","12 m -   26 m","0"
"(2022 UX1)","2023-Oct-11 13:53 ±    04:47","0.00801","0.00492","8.58","8.54","28.0","6.7 m -   15 m","0"
"(2023 TM1)","2023-Oct-11 14:47 ±    00:04","0.06539","0.06486","7.11","7.11","25.9","18 m -   40 m","0"
"(2023 UY8)","2023-Oct-11 15:01 ±    01:59","0.01217","0.01183","9.43","9.40","26.0","17 m -   38 m","0"
"(2023 RD11)","2023-Oct-11 20:35 ± < 00:01","0.03280","0.03276","9.53","9.52","24.6","31 m -   70 m","0"
"(2023 TF4)","2023-Oct-11 21:52 ± < 00:01","0.01533","0.01529","8.72","8.70","26.8","12 m -   26 m","0"
"(2023 TA16)","2023-Oct-11 22:43 ± < 00:01","0.00505","0.00503","19.57","19.55","28.1","6.3 m -   14 m","0"
"(2023 TS1)","2023-Oct-11 22:51 ±    00:03","0.08675","0.08585","10.29","10.28","24.1","39 m -   88 m","0"
"(2023 TZ9)","2023-Oct-12 00:18 ±    00:04","0.02793","0.02777","15.06","15.05","24.9","28 m -   63 m","0"
"(2015 KW120)","2023-Oct-12 02:37 ± < 00:01","0.04658","0.04658","13.03","13.03","26.0","17 m -   38 m","0"
"(2022 NA)","2023-Oct-12 05:16 ±    13:49","0.12956","0.12222","9.30","9.30","24.9","27 m -   61 m","0"
"(2023 TA10)","2023-Oct-12 05:59 ± < 00:01","0.04670","0.04663","9.40","9.39","24.1","39 m -   88 m","0"
"(2023 TP1)","2023-Oct-12 06:37 ± < 00:01","0.03565","0.03521","13.24","13.24","24.7","31 m -   69 m","0"
"(2021 EG)","2023-Oct-12 07:58 ± 7_03:30","0.18142","0.11602","13.25","13.25","24.3","36 m -   81 m","0"
"(2023 TS16)","2023-Oct-12 12:38 ± < 00:01","0.02386","0.02381","11.17","11.16","26.0","17 m -   38 m","0"
"(2023 TV3)","2023-Oct-12 12:52 ± < 00:01","0.00056","0.00056","14.21","13.87","27.8","7.5 m -   17 m","1"
"(2023 TL8)","2023-Oct-12 13:24 ± < 00:01","0.02361","0.02354","9.84","9.83","25.2","25 m -   55 m","0"
"(2023 SU7)","2023-Oct-12 16:27 ± < 00:01","0.11156","0.11155","7.24","7.24","22.9","72 m -  160 m","0"
"(2023 SM7)","2023-Oct-12 17:07 ± < 00:01","0.08167","0.08150","6.95","6.95","24.5","33 m -   74 m","0"
"(2023 UH3)","2023-Oct-12 17:44 ±    00:04","0.11149","0.11082","15.70","15.70","24.5","34 m -   76 m","0"
"(2024 FN3)","2023-Oct-12 18:08 ±    01:48","0.09037","0.08989","7.15","7.14","25.4","23 m -   51 m","0"
"(2023 UL)","2023-Oct-12 18:45 ± < 00:01","0.01532","0.01528","9.29","9.28","28.1","6.4 m -   14 m","0"
"(2023 TD10)","2023-Oct-12 19:11 ± < 00:01","0.14181","0.14178","10.16","10.16","22.7","76 m -  170 m","0"
"(2023 SV6)","2023-Oct-12 19:25 ± < 00:01","0.14368","0.14363","6.56","6.56","24.4","36 m -   80 m","0"
"(2023 TT)","2023-Oct-12 22:18 ± < 00:01","0.07367","0.07331","15.68","15.68","24.1","41 m -   91 m","0"
"(2023 TF3)","2023-Oct-12 23:28 ±    00:03","0.02831","0.02815","19.61","19.61","25.6","20 m -   44 m","0"
"(2023 TU15)","2023-Oct-12 23:46 ±    00:02","0.00195","0.00194","12.02","11.90","29.2","3.9 m -  8.8 m","0"
"(2021 VO)","2023-Oct-13 01:25 ± < 00:01","0.10886","0.10886","9.77","9.77","21.3","150 m -  330 m","0"
"(2023 TC1)","2023-Oct-13 02:57 ± < 00:01","0.02703","0.02690","8.12","8.11","26.9","11 m -   25 m","0"
"(2016 UA26)","2023-Oct-13 03:07 ± < 00:01","0.10147","0.10147","12.59","12.58","23.9","45 m -  100 m","0"
"(2023 TB4)","2023-Oct-13 04:06 ± < 00:01","0.01739","0.01730","10.62","10.60","26.9","11 m -   25 m","0"
"(2023 UQ2)","2023-Oct-13 04:16 ±    00:21","0.17412","0.16925","13.99","13.99","24.5","33 m -   73 m","0"
"(2016 EU84)","2023-Oct-13 04:28 ±    13:38","0.16679","0.16660","4.57","4.57","29.0","4.2 m -  9.4 m","0"
"(2023 TJ1)","2023-Oct-13 05:24 ±    00:05","0.05010","0.04927","9.06","9.06","25.2","24 m -   53 m","0"
"(2023 TK12)","2023-Oct-13 05:41 ±    00:03","0.03056","0.03037","17.76","17.75","25.8","19 m -   42 m","0"
"(2004 BH11)","2023-Oct-13 06:59 ±    00:14","0.15693","0.15690","7.20","7.20","23.9","43 m -   96 m","0"
"(2023 LA1)","2023-Oct-13 07:51 ±    00:13","0.16596","0.16584","3.07","3.06","28.9","4.5 m -   10 m","0"
"(2023 TE8)","2023-Oct-13 07:55 ± < 00:01","0.04403","0.04351","12.34","12.33","26.1","16 m -   36 m","0"
"(2023 UZ1)","2023-Oct-13 08:30 ±    00:01","0.13494","0.13317","24.81","24.80","22.8","72 m -  160 m","0"
"(2023 SL3)","2023-Oct-13 10:39 ± < 00:01","0.06848","0.06822","15.09","15.09","23.0","66 m -  150 m","0"
"(2024 GM2)","2023-Oct-13 11:11 ±    02:00","0.14396","0.14271","16.49","16.49","23.2","61 m -  140 m","0"
"(2023 RW12)","2023-Oct-13 14:16 ± < 00:01","0.11296","0.11284","8.69","8.69","23.6","49 m -  110 m","0"
"(2023 TP15)","2023-Oct-13 14:20 ± < 00:01","0.00746","0.00744","22.92","22.91","26.0","17 m -   38 m","0"
"(2023 TM27)","2023-Oct-13 15:09 ± < 00:01","0.00344","0.00344","12.54","12.48","28.7","4.8 m -   11 m","0"
"(2023 TE1)","2023-Oct-13 15:30 ± < 00:01","0.08761","0.08602","19.40","19.39","24.7","31 m -   68 m","0"
"(2013 US4)","2023-Oct-13 15:56 ±    05:19","0.10226","0.07319","7.27","7.27","26.3","15 m -   33 m","0"
"(2021 NT14)","2023-Oct-13 17:10 ± < 00:01","0.04764","0.04764","8.58","8.57","20.7","190 m -  430 m","1"
"(2023 RK9)","2023-Oct-13 17:11 ± < 00:01","0.11879","0.11879","9.38","9.38","23.3","59 m -  130 m","0"
"(2023 TC5)","2023-Oct-13 17:57 ±    00:12","0.10215","0.10144","8.06","8.05","24.7","30 m -   67 m","0"
"(2023 XC6)","2023-Oct-13 18:31 ±    03:12","0.11656","0.11519","6.18","6.18","22.9","71 m -  160 m","0"
"(2023 TU5)","2023-Oct-13 18:37 ± < 00:01","0.01182","0.01159","8.34","8.31","27.8","7.4 m -   16 m","0"
"(2023 TD4)","2023-Oct-13 22:56 ± < 00:01","0.01444","0.01435","6.42","6.39","27.2","9.6 m -   21 m","0"
"(2023 TR3)","2023-Oct-14 03:47 ± < 00:01","0.06758","0.06736","13.34","13.33","24.3","38 m -   84 m","0"
"(2023 TJ12)","2023-Oct-14 05:23 ± < 00:01","0.02729","0.02709","10.66","10.65","26.7","12 m -   28 m","0"
"(2023 UE)","2023-Oct-14 05:45 ± < 00:01","0.00501","0.00501","5.22","5.12","28.9","4.5 m - 10.0 m","0"
"(2023 TV26)","2023-Oct-14 06:06 ±    00:13","0.07489","0.07404","7.84","7.84","25.9","17 m -   39 m","0"
"(2016 CZ135)","2023-Oct-14 06:07 ± < 00:01","0.09735","0.09735","12.22","12.21","20.6","200 m -  450 m","0"
"(2023 TO4)","2023-Oct-14 06:59 ± < 00:01","0.00476","0.00475","16.79","16.75","27.5","8.3 m -   18 m","0"
"(2023 US5)","2023-Oct-14 08:31 ±    00:38","0.05513","0.05387","6.48","6.47","27.0","11 m -   24 m","0"
"(2008 TF)","2023-Oct-14 08:45 ± < 00:01","0.08263","0.08263","17.21","17.20","21.9","110 m -  250 m","0"
"(2014 RC)","2023-Oct-14 09:50 ±    01:18","0.14875","0.14866","7.67","7.67","26.8","12 m -   26 m","0"
"(2023 TD7)","2023-Oct-14 11:11 ± < 00:01","0.00115","0.00114","10.09","9.86","29.2","3.8 m -  8.6 m","0"
"(2023 TB5)","2023-Oct-14 11:52 ±    00:04","0.07671","0.07511","8.41","8.41","24.6","33 m -   73 m","0"
"(2023 TQ3)","2023-Oct-14 12:36 ± < 00:01","0.00985","0.00984","11.25","11.23","25.6","20 m -   45 m","0"
"(2021 UV9)","2023-Oct-14 13:07 ± < 00:01","0.16347","0.16347","5.31","5.31","23.9","44 m -   98 m","0"
"(2021 FN)","2023-Oct-14 14:09 ±    05:53","0.19865","0.19802","16.69","16.69","23.2","60 m -  130 m","0"
"(2023 TO17)","2023-Oct-14 14:35 ± < 00:01","0.00036","0.00036","15.16","14.67","29.7","3.1 m -  6.9 m","0"
"(2023 TD8)","2023-Oct-14 16:14 ± < 00:01","0.01444","0.01439","9.86","9.84","28.1","6.3 m -   14 m","0"
"(2023 UY)","2023-Oct-14 17:43 ±    00:02","0.00104","0.00104","8.03","7.71","30.0","2.7 m -  6.1 m","0"
"(2023 UL1)","2023-Oct-14 18:05 ±    00:08","0.09142","0.09098","17.46","17.46","24.7","30 m -   67 m","0"
"(2023 US2)","2023-Oct-15 02:30 ±    00:22","0.02344","0.02302","11.85","11.84","27.0","10 m -   23 m","0"
"(2023 TC7)","2023-Oct-15 03:20 ± < 00:01","0.00445","0.00445","6.80","6.72","26.9","11 m -   25 m","0"
"(2023 TZ6)","2023-Oct-15 04:47 ± < 00:01","0.02839","0.02818","12.51","12.50","26.4","14 m -   31 m","0"
"(2022 WT11)","2023-Oct-15 05:18 ± < 00:01","0.08843","0.08843","7.74","7.73","24.1","41 m -   92 m","0"
"(2023 VL3)","2023-Oct-15 05:49 ±    00:03","0.12530","0.12490","11.34","11.33","21.7","120 m -  270 m","0"
"(2011 GA)","2023-Oct-15 07:09 ± < 00:01","0.01743","0.01743","16.59","16.59","20.7","190 m -  420 m","2"
"138175 (2000 EE104)","2023-Oct-15 07:11 ± < 00:01","0.19043","0.19043","5.87","5.87","20.5","210 m -  480 m","0"
"(2023 UJ6)","2023-Oct-15 09:43 ±    00:03","0.02361","0.02338","19.24","19.23","27.6","8.1 m -   18 m","0"
"(2023 UY1)","2023-Oct-15 10:06 ±    00:18","0.02768","0.02735","6.16","6.14","27.2","9.8 m -   22 m","0"
"(2023 UL10)","2023-Oct-15 11:41 ±    00:23","0.10053","0.09826","12.29","12.28","24.8","29 m -   65 m","0"
"(2023 TD167)","2023-Oct-15 13:11 ± < 00:01","0.00664","0.00662","3.26","3.14","29.4","3.6 m -  7.9 m","0"
"(2022 UY)","2023-Oct-15 13:51 ± < 00:01","0.08096","0.08096","8.29","8.28","25.5","21 m -   47 m","0"
"(2023 UX1)","2023-Oct-15 16:34 ±    00:03","0.01679","0.01667","20.73","20.73","26.0","17 m -   37 m","0"
"(2021 TC1)","2023-Oct-15 19:06 ± < 00:01","0.09809","0.09808","4.30","4.30","25.3","23 m -   51 m","0"
"(2023 UB)","2023-Oct-15 19:08 ± < 00:01","0.00039","0.00039","15.55","15.11","30.1","2.6 m -  5.8 m","0"
"(2023 RO49)","2023-Oct-15 20:09 ± < 00:01","0.06571","0.06571","4.34","4.33","24.4","35 m -   78 m","0"
"(2023 TZ8)","2023-Oct-15 20:35 ±    00:06","0.02842","0.02815","9.43","9.42","26.7","12 m -   28 m","0"
"(2023 MK1)","2023-Oct-15 22:26 ± < 00:01","0.18557","0.18556","14.95","14.95","20.9","180 m -  390 m","0"
"(2007 SQ6)","2023-Oct-15 23:26 ± < 00:01","0.04956","0.04956","6.45","6.45","22.2","97 m -  220 m","0"
"(2023 UT2)","2023-Oct-16 01:28 ± < 00:01","0.05293","0.05288","16.31","16.30","22.9","71 m -  160 m","0"
"(2023 VJ7)","2023-Oct-16 02:47 ±    01:17","0.17655","0.17306","9.43","9.43","22.9","71 m -  160 m","0"
"(2023 US)","2023-Oct-16 05:14 ± < 00:01","0.02803","0.02787","8.63","8.62","25.8","18 m -   40 m","0"
"(2023 UH4)","2023-Oct-16 07:36 ±    03:33","0.06644","0.06512","10.20","10.19","26.2","15 m -   34 m","0"
"(2023 TA4)","2023-Oct-16 08:07 ± < 00:01","0.01869","0.01865","4.15","4.11","27.6","8.1 m -   18 m","0"
"(2023 QA4)","2023-Oct-16 08:14 ± < 00:01","0.05442","0.05442","11.76","11.75","20.8","190 m -  410 m","1"
"(2023 TR15)","2023-Oct-16 09:35 ±    00:01","0.00881","0.00879","8.78","8.75","28.0","6.6 m -   15 m","0"
"(2023 UR2)","2023-Oct-16 11:17 ± < 00:01","0.00858","0.00856","8.18","8.14","26.4","14 m -   31 m","0"
"(2017 HG)","2023-Oct-16 11:47 ± 7_14:58","0.06941","0.00986","14.16","14.16","26.1","16 m -   35 m","0"
"(2023 TB17)","2023-Oct-16 13:35 ± < 00:01","0.15531","0.15528","12.74","12.74","21.9","110 m -  250 m","0"
"(2023 UL9)","2023-Oct-16 13:37 ±    00:05","0.03786","0.03715","13.41","13.41","25.8","18 m -   41 m","0"
"(2019 UZ3)","2023-Oct-16 13:53 ± 7_11:48","0.02456","0.01798","8.31","8.30","27.0","11 m -   24 m","0"
"(2023 TT8)","2023-Oct-16 18:41 ± < 00:01","0.01480","0.01476","7.93","7.91","26.6","13 m -   28 m","0"
"(2023 TV9)","2023-Oct-16 21:22 ±    00:03","0.10545","0.10474","7.49","7.49","24.7","30 m -   68 m","0"
"(2019 CE4)","2023-Oct-16 21:57 ± < 00:01","0.12840","0.12840","15.19","15.18","17.8","740 m -  1.7 km","1"
"(2023 TN15)","2023-Oct-16 22:45 ±    00:10","0.03171","0.03159","3.86","3.84","27.4","8.8 m -   20 m","0"
"(1998 HH49)","2023-Oct-17 00:33 ± < 00:01","0.00784","0.00784","14.79","14.76","21.4","140 m -  310 m","2"
"(2023 TH5)","2023-Oct-17 00:39 ± < 00:01","0.07400","0.07343","11.34","11.33","23.9","44 m -   97 m","0"
"(2023 UM10)","2023-Oct-17 07:03 ±    01:34","0.00502","0.00492","10.14","10.09","27.9","7.1 m -   16 m","0"
"(2023 VF1)","2023-Oct-17 09:30 ±    00:02","0.15241","0.15233","34.76","34.76","19.6","320 m -  720 m","0"
"(2021 TE1)","2023-Oct-17 09:38 ±    09:13","0.18018","0.17050","18.57","18.57","24.4","34 m -   77 m","0"
"(2023 UU1)","2023-Oct-17 11:41 ± < 00:01","0.00352","0.00351","9.14","9.05","27.4","8.6 m -   19 m","0"
"(2023 TF8)","2023-Oct-17 12:40 ± < 00:01","0.01408","0.01398","20.12","20.11","26.9","11 m -   25 m","0"
"(2023 WH3)","2023-Oct-17 13:26 ±    02:22","0.03951","0.03908","12.81","12.81","22.5","83 m -  190 m","1"
"(2023 TT15)","2023-Oct-17 15:20 ± < 00:01","0.01598","0.01593","6.42","6.39","28.1","6.4 m -   14 m","0"
"(2023 TH12)","2023-Oct-17 15:54 ± < 00:01","0.01984","0.01979","8.34","8.33","26.0","17 m -   38 m","0"
